0,1
李鸿志,    兵器专家，主要从事弹道学研究。1937年5月出生于北京市。1961年毕业于炮兵工程学院，获大学学位。     1994年当选中国工程院院士。
李魁武,"    火炮自动武器及弹药（战斗部）工程专家，主要从事自行高炮、弹炮结合防空武器系统研究。1943年9月出生于河北省井陉县。1967年毕业于太原机械学院（现中北大学）,获学士学位。     2015年当选中国工程院院士。"
李明,    飞行器设计专家，主要从事飞行器总体设计和自动化研究。1936年11月出生于广东省三水市。1963年毕业于哈尔滨军事工程学院。     1995年当选中国工程院院士。
林尚扬,    焊接专家，主要从事焊接材料、工艺与自动化技术研究。1932年3月生于福建省厦门市。1961年毕业于哈尔滨工业大学，获学士学位。     1995年当选中国工程院院士。
柳百成,    铸造及材料工程专家，主要从事铸造及材料加工工程研究。1933年2月出生于上海市。1955年毕业于清华大学，获学士学位。     1999年当选中国工程院院士。
刘大响,    航空动力专家，主要从事航空发动机设计与研究，重大设备建设和发展战略研究。1937年10月出生于湖南省祁东县。1960年毕业于北京航空学院（现北京航空航天大学），获学士学位。     1995年当选中国工程院院士。
刘人怀,    力学、管理学专家，主要从事固体力学、战略管理和旅游管理等研究。1940年7月出生于四川省成都市。1963年毕业于兰州大学。     1999年当选中国工程院机械与运载学部院士。     2000年又当选为中国工程院工程管理学部院士。
刘怡昕,    武器系统与运用工程专家，主要从事武器系统与运用工程研究。1941年3月日出生于山东省青岛市。1964年毕业于炮兵工程学院。     2003年当选中国工程院院士。
刘永才,    飞航技术专家，主要从事航天系统工程、飞行器总体设计和信息化技术研究。1942年12月（农历）出生于吉林省长春市。1966年毕业于中国人民解放军军事工程学院有翼导弹设计专业，获学士学位。     2009年当选中国工程院院士。
刘友梅,    轨道电力牵引动力专家，主要从事轨道交通电力牵引装备制造业研究。1938年1月出生于江西省上饶市。1961年毕业于上海交通大学，获学士学位。     1999年当选中国工程院院士。
龙乐豪,    航天专家，主要从事航天运输系统技术研究，1938年7月出生于湖北省武汉市汉阳县，1963年毕业于上海交通大学自动控制专业。     2001年当选中国工程院院士。
路甬祥,    流体传动与控制专家，主要从事于流体传动及控制技术研究。1942年4月出生于浙江省宁波市。1964年毕业于浙江大学，获亚琛大学工程科学博士学位。     1994年当选中国工程院院士。
潘健生,    材料热处理专家，主要从事热处理工艺、控制与设备研究。1935年1月出生于广东省番禺市。1959年毕业于上海交通大学，获学士学位。     2001年当选中国工程院院士。
戚发轫,    空间技术专家，主要从事航天器总体设计研究。1933年4月出生于辽宁省复县。1957年毕业于北京航空学院（现北京航空航天大学）。     2001年当选中国工程院院士。
钱清泉,    铁道电气化与自动化专家，主要从事轨道交通电气化与自动化研究。1936年5月出生于江苏省丹阳市。1960年毕业于唐山铁道学院电机系（现西南交通大学），获学士学位。     1997年当选中国工程院院士。
饶芳权,    电机工程专家，主要从事水轮发电机的设计和技术管理研究。1934年9月出生于广东省梅州市。1958年毕业于哈尔滨工业大学。     1995年当选中国工程院院士。
沈闻孙,    船舶设计专家，主要从事大型船舶设计研究。1930年5月出生于浙江省嘉兴市。1953年毕业于上海交通大学造船系，获学士学位。     1997年当选中国工程院院士。
沈志云,    铁路机械工程专家，主要从事机车车辆动力学研究。1929年05月出生于湖南省长沙县。1961年毕业于原苏联列宁格勒铁道学院研究生院，获副博士学位。     1994年当选中国工程院院士。
苏哲子,    火炮武器专家，主要从事火炮武器系统的研究，1935年12月出生在陕西省咸阳市。1959年毕业于北京理工大学。     2005年当选工程院院士。
