,江西理工大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
,江西农业大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2
,江西中正大学,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
交通大学,国立交通大学,0,0,1,9,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15
,解放军测绘学院,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
,解放军铁道兵工程学院,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
,解放军通信工程学院,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
南京大学,金陵大学,3,10,10,15,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
,京师大学,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,军事工程学院,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,空军工程学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
,空军雷达学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
,兰州大学,0,0,0,0,0,0,0,0,0,0,2,4,5,7,8,9,11,13,15,17
,辽宁大学,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
,列宁格勒大学,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,岭南大学,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
,马尾海军学校,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,美国Simmons学院,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
,美国宾夕法尼亚大学,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,美国东北大学,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
,美国范德堡大学,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
,美国哈佛大学,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,美国华盛顿州立大学,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,美国普渡大学,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,美国威斯康辛大学,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,美国西南大学,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,美国伊利诺大学,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,美国芝加哥大学,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4
,莫斯科大学,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
,南充师范学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
南京大学,南京大学,0,0,0,3,11,13,20,24,26,31,34,39,42,43,47,50,53,55,57,61
,南京地质探矿专科学校,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
东南大学,南京高等师范学校,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
,南京工学院,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
,南京工业大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
,南京工院,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,南京航空航天大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3
,南京航空学院,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
,南京河海工程专门学校,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,南京化工学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
,南京江苏第一农校,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,南京理工大学,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,3,3
,南京农业大学,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,南京气象学院,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2
,南京师范大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
,南京铁道医学院,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
,南京医科大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
,南京邮电大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
,南开大学,1,2,2,2,3,4,5,6,6,6,7,9,10,10,10,10,10,11,12,13
,南通大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
,南通医学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
,内蒙古大学,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2
,内蒙古农业大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
,宁波大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,农商部地质研究所,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,齐鲁大学,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,青岛医学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
清华大学,清华大学,7,27,30,68,90,93,95,103,106,109,114,118,118,121,121,126,127,130,130,131
清华大学,清华学校,4,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
,曲阜师范大学,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
,日本大阪工业高等学校(现大阪大学),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,日本东北帝国大学,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,日本东京高等工业学校,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,日本东京高等工业学校建筑科。南京工学院,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,日本东京国际基督教大学,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
,日本鹿儿岛高等农林学校,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,日本群马大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
厦门大学,厦门大学,0,0,0,5,11,15,15,16,17,18,18,19,19,19,19,20,22,23,23,24
,山东大学,0,0,0,2,3,5,5,6,6,9,10,12,13,14,15,15,15,16,18,20
,山东工学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2
,山东工业大学,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
,山东海洋学院(现中国海洋大学),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
,山东济南齐鲁大学,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,山东科技大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
