姓名,出生地,毕业院校,当选年份
韩德馨,江苏省如皋县,西南联大，1943－1945年北京大学,1995
刘广志,北京,西南联合大学,1995
高鼎三,上海市,西南联合大学,1995
向仲怀,重庆市武隆区,西南农学院,1995
关君蔚,辽宁省沈阳市,现日本东京农工大学,1995
葛修润,上海,原苏联敖德萨建筑工程学院,1995
冯叔瑜,四川省邻水县,原苏联列宁格勒铁道运输工程学院,1995
张炳炎,山东省庆云县,原苏联列宁格勒造船学院,1995
汪顺亭,辽宁省大连市,原苏联莫斯科包曼国立技术大学,1995
杨裕生,江苏省如皋县,浙江大学,1995
薛鸣球,江苏省宜兴市,浙江大学,1995
黄文虎,上海市,浙江大学,1995
沈昌祥,浙江省奉化市,浙江大学,1995
潘镜芙,浙江省湖州市南浔区,浙江大学,1995
徐元森,浙江省江山县,浙江大学,1995
孙优贤,浙江省诸暨市,浙江大学,1995
杨秀敏,河北省青县,中国科技大学,1995
王震西,江苏省海门市,中国科学技术大学,1995
龚惠兴,上海市,中国科学技术大学,1995
何多慧,四川省仪陇市,中国科学技术大学,1995
魏子卿,河南省睢县,中国人民解放军测绘学院,1995
王兴治,辽宁省辽阳市,中国人民解放军军事工程学院,1995
周勤之,浙江省上虞市,中华工商专科学校。东华大学,1995
古德生,广东省梅州市,中南矿冶学院,1995
余永富,河南省南召县,中南矿冶学院,1995
莫伯治,广东省东莞市,中山大学,1995
梁春广,广东省梅县,中山大学,1995
黄尚廉,四川乐山市,重庆大学,1995
陆孝彭,江苏省常州市,重庆国立中央大学,1995
陈德仁,江苏省无锡县,重庆交通大学,1995
曾德超,海南省海口市,重庆中央大学,1995
顾心怿,上海市,上海中华职业学校,1995
李俊贤,四川省眉山市,国立中央技艺专科学校,1995
吴良镛,江苏省南京市,中央大学,1995
李光博,天津市武清,北京大学,1995
严恺,福建省闽侯县,交通大学,1995
邱竹贤,江苏省海门市,交通大学,1995
沙庆林,江苏宜兴,交通大学,1995
汪菊渊,安徽休宁县,南京金陵大学,1995
李鹗鼎,北京,清华大学,1995
袁隆平,北平,西南农学院,1995
邵象华,浙江杭州,浙江大学,1995
梁维燕,北京,北洋大学,1995
李载平,福建福州,北京大学,1996
史轶蘩,江苏省溧阳县,北京协和医学院,1996
程天民,江苏省宜兴市,第六军医大学,1996
程天民,江苏省宜兴市,第六军医大学,1996
黄翠芬,广东省台山市,广州私立岭南大学,1996
盛志勇,上海市,国立上海医学院,1996
黎介寿,湖南省长沙市,国立中正医学院,1996
洪涛,山东省荣成市,罗马尼亚科学院,1996
侯惠民,上海市,日本北海道医疗大学,1996
姚新生,上海市,日本东京大学,1996
李瑞麟,上海市,上海大夏大学,1996
陈亚珠,浙江省宁波市,上海交通大学,1996
吴咸中,辽宁省新民市,沈阳医学院,1996
陆道培,上海市,同济医学院,1996
钟南山,江苏省南京市,英国爱丁堡大学,1996
刘德培,安徽省阜南县,中国协和医科大学,1996
刘德培,安徽省阜南县,中国协和医科大学,1996
卢世璧,湖北省宜昌市,中国协和医学院,1996
朱晓东,河南省开封市,中国医学科学院,1996
朱晓东,河南省开封市,中国医学科学院,1996
张涤生,吉林长春市,中央大学,1996
王士雯,山东省峄县,第四军医大学,1996
彭司勋,湖南省保靖市,国立药学专科学校,1996
安静娴,山东省烟台市,北京大学,1997
王澍寰,北京市,北京大学,1997
赵伊君,北京市,北京大学,1997
张蔚榛,河北省丰南县,北京大学,1997
潘自强,湖南省益阳市,北京大学,1997
卢耀如,福建省福州市,北京地质学院,1997
金翔龙,江苏省南京市,北京地质学院,1997
胡正寰,黑龙江省哈尔滨市,北京钢铁工业学院,1997
柯伟,辽宁省沈阳市,北京钢铁工业学院,1997
刘玠,上海市,北京钢铁学院,1997
刘玠,上海市,北京钢铁学院,1997
唐西生,江苏省宜兴市,北京航空航天大学,1997
温俊峰,内蒙古自治区五原县,北京航空学院,1997
陈清泉,印尼马吉朗市,北京矿业学院,1997
凌永顺,安徽省定远,北京师范大学,1997
杨启业,江苏省镇江市,北京石油学院,1997
王琳芳,黑龙江省哈尔滨市,北京协和医学院,1997
王永炎,天津市,北京中医学院,1997
翁心植,浙江省宁波市,成都华西协合大学,1997
张杰,辽宁省本溪市,大阪大学,1997
陆钟武,天津市,大同大学,1997
黄崇祺,江苏省常熟市,东北工学院,1997
吕志涛,浙江省新昌县,东南大学,1997
阮长耿,上海市,法国巴黎第七大学,1997
余松烈,浙江省慈溪县,福建协和大学,1997
魏可镁,日本人吉市,福州大学,1997
陈火旺,福建省安溪县,复旦大学,1997
蔡吉人,江苏省苏州市,复旦大学,1997
赵铠,江苏省苏州市,复旦大学,1997
沈寅初,浙江省嵊州市,复旦大学,1997
陈太一,江苏省宜兴,广西大学,1997
于维汉,辽宁省大连市,国立满洲医学院,1997
王仲奇,河北省唐县,哈尔滨工业大学,1997
蔡鹤皋,吉林省长春市,哈尔滨工业大学,1997
顾真安,江苏省无锡市,华东华工学院,1997
杨胜利,上海市,华东化工学院,1997
刘伯里,江苏省常州市,华东师范大学,1997
郑守仁,安徽颍上,华东水利学院,1997
吴中如,江苏省省宜兴市,华东水利学院,1997
张勇传,河南省南阳市,华中工学院,1997
谭靖夷,湖南省衡阳县,交通大学,1997
佘畯南,越南,交通大学,1997
黄宗道,湖北省武汉,金陵大学,1997
蒋亦元,江苏省常州市,金陵大学,1997
乔登江,南京市,金陵大学,1997
陈俊愉,天津市,金陵大学,1997
沈倍奋,上海市,军事医学科学院,1997
李椿萱,云南省昆明市,美国纽约州立大学,1997
金庆焕,浙江省临海市,莫斯科大学,1997
张光义,四川省泸州市,莫斯科动力学院,1997
